Avengers: Endgame,8.4,2019,Bilim Kurgu,181,https://www.youtube.com/watch?v=TcMBFSGVi1c
Joker,8.4,2019,Suç,122,https://www.youtube.com/watch?v=zAGVQLHvwOY
Avengers: Assemble,8.3,2012,Bilim Kurgu,143,https://www.youtube.com/watch?v=eOrNdBpGMv8
Parasite,8.3,2019,Dram,132,https://www.youtube.com/watch?v=5xH0HfJHsaY
Avengers: Age of Ultron,8.3,2015,Aksiyon,141,https://www.youtube.com/watch?v=tmeOjFno6Do
WALL·E,8.3,2008,Animasyon,98,https://www.youtube.com/watch?v=alIq_wG9FNk
Amélie,8.3,2001,Romantik,122,https://www.youtube.com/watch?v=HUECWi5pX7o
The Pianist,8.2,2002,Biyografi,150,https://www.youtube.com/watch?v=u_jE7-6Uv7E
Terminator,8.2,1984,Aksiyon,107,https://www.youtube.com/watch?v=lHz95RYUbik
Kırgın Çiçekler,7.0,2000,Aksiyon,200,kalo
Uzak Doğu,1.0,2012,Aksiyon,20,yobe
